Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
0.0047875 -15.666 -13.2127 -8.195 
0.0047975 -10.956 -8.89567 -5.26665 
0.0048075 -15.6943 -14.0407 -9.21048 
0.0048175 -11.9602 -9.05682 -4.94608 
0.0048275 -13.6195 -12.0478 -7.80695 
0.0048375 -17.2247 -14.8571 -9.43228 
0.0048475 -11.9443 -9.63664 -5.67563 
0.0048575 -14.8998 -13.2801 -8.67587 
0.0048675 -16.7096 -14.1266 -8.79025 
0.0048775 -12.2029 -10.0805 -6.09351 
0.0048875 -16.6745 -14.0225 -8.67882 
0.0048975 -14.6252 -11.6226 -6.7556 
0.0049075 -13.9636 -12.1691 -7.77884 
0.0049175 -15.1595 -12.5718 -7.65946 
0.0049275 -12.8011 -10.718 -6.57619 
0.0049375 -16.4648 -13.8312 -8.54928 
0.0049475 -15.0502 -12.3823 -7.48019 
0.0049575 -14.9441 -13.0043 -8.30908 
0.0049675 -14.5232 -11.352 -6.47138 
0.0049775 -15.3945 -14.0642 -9.39419 
0.0049875 -14.7064 -12.5894 -7.91595 
0.0049975 -14.9055 -12.0069 -7.08771 
0.0050075 -14.9651 -13.0032 -8.29641 
0.0050175 -14.2114 -12.4567 -8.0074 
0.0050275 -16.9277 -14.0086 -8.52917 
0.0050375 -13.408 -10.8319 -6.40219 
0.0050475 -18.0363 -15.7246 -10.0892 
0.0050575 -16.1611 -12.7455 -7.35499 
0.0050675 -15.9639 -13.7383 -8.69249 
0.0050775 -15.7834 -13.5235 -8.51885 
0.0050875 -16.8189 -13.5909 -8.06537 
0.0050975 -12.9185 -11.0726 -6.95523 
0.0051075 -17.0177 -14.4746 -9.06176 
0.0051175 -14.17 -11.3996 -6.71278 
0.0051275 -15.5 -13.7539 -8.95222 
0.0051375 -16.0295 -13.0011 -7.74069 
0.0051475 -16.3754 -13.4085 -8.06816 
0.0051575 -15.6502 -14.0862 -9.28748 
0.0051675 -15.6347 -13.2899 -8.30462 
0.0051775 -16.1337 -14.6838 -9.77997 
0.0051875 -15.1798 -12.2276 -7.21852 
0.0051975 -16.3968 -13.2615 -7.87357 
0.0052075 -14.9729 -13.4279 -8.81917 
0.0052175 -17.1126 -14.8919 -9.53083 
0.0052275 -16.3304 -13.8389 -8.62622 
0.0052375 -17.1945 -13.9419 -8.30597 
0.0052475 -14.049 -11.9467 -7.45511 
0.0052575 -17.0355 -14.8538 -9.52302 
0.0052675 -15.6806 -13.456 -8.48652 
0.0052775 -16.1168 -12.7172 -7.34079 
0.0052875 -17.4288 -14.7846 -9.23265 
0.0052975 -16.8495 -14.4743 -9.14697 
0.0053075 -14.7917 -12.1801 -7.35975 
0.0053175 -15.8495 -13.8561 -8.8963 
0.0053275 -17.597 -14.7746 -9.13248 
0.0053375 -17.2773 -14.652 -9.1457 
0.0053475 -14.3751 -12.3482 -7.7846 
0.0053575 -15.936 -13.2961 -8.15426 
0.0053675 -16.515 -14.5722 -9.44168 
0.0053775 -16.4322 -14.2493 -9.08272 
0.0053875 -16.5159 -13.4769 -8.07802 
0.0053975 -16.1779 -14.1731 -9.1196 
0.0054075 -15.9017 -14.02 -9.07223 
0.0054175 -14.7958 -12.5823 -7.85688 
0.0054275 -17.9755 -16.043 -10.5134 
0.0054375 -17.5346 -14.0502 -8.26229 
0.0054475 -15.4804 -13.3741 -8.48671 
0.0054575 -16.6863 -14.5269 -9.29536 
0.0054675 -16.5736 -13.9727 -8.66412 
0.0054775 -15.5836 -13.2969 -8.33682 
0.0054875 -17.4265 -14.9918 -9.48952 
0.0054975 -16.9041 -15.0152 -9.78958 
0.0055075 -14.6818 -11.9191 -7.08987 
0.0055175 -17.3746 -15.5254 -10.1802 
0.0055275 -15.8627 -14.2765 -9.41026 
0.0055375 -16.4856 -14.5828 -9.4681 
0.0055475 -13.8377 -11.9185 -7.52639 
0.0055575 -17.1089 -15.323 -10.0655 
0.0055675 -17.6665 -14.5989 -8.87515 
0.0055775 -15.7223 -13.9208 -9.03982 
